timestamp_sec_gps,timestamp_nanosec_gps,timestamp_sec_imu,timestamp_nanosec_imu,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,orientation_x,orientation_y,orientation_z,orientation_w,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,magnetic_field_x,magnetic_field_y,magnetic_field_z
,,1729521988.0,570443003.0,,,,,,,,-0.0066109185409173755,0.003525125928839175,0.04415709430748411,0.9989965066333071,0.09,0.137,-10.19,-0.000985,-0.000687,-0.000277,-2.3230000000000003e-05,-8.61e-06,2.9020000000000003e-05
,,1729521988.0,597935642.0,,,,,,,,-0.006610564312336535,0.0035163503327105793,0.044165757439840324,0.9989961569443474,0.06,0.128,-10.176,-0.000157,-0.000192,-0.000337,-2.3400000000000003e-05,-8.720000000000001e-06,2.883e-05
,,1729521988.0,620114759.0,,,,,,,,-0.0066109185409173755,0.003525125928839175,0.04415709430748411,0.9989965066333071,0.067,0.125,-10.169,-0.000892,-0.000268,-0.000196,-2.3400000000000003e-05,-8.939999999999999e-06,2.8899999999999998e-05
,,1729521988.0,646689706.0,,,,,,,,-0.006619667188706066,0.00352468281800336,0.044165842955272795,0.9989960635224713,0.118,0.125,-10.221,-0.001112,-0.000357,-0.000157,-2.334e-05,-8.720000000000001e-06,2.8960000000000004e-05
,,1729521988.0,670564423.0,,,,,,,,-0.006645790093396039,0.0035235845533242998,0.04415721733069005,0.9989962752600934,0.097,0.127,-10.196,-0.001047,-7.1e-05,-0.000222,-2.318e-05,-8.730000000000001e-06,2.8899999999999998e-05
,,1729521988.0,695570178.0,,,,,,,,-0.0066378420322044905,0.003541405710339187,0.044157296537117204,0.9989962615852392,0.1,0.137,-10.21,-0.000277,-0.000746,-0.000905,-2.324e-05,-8.720000000000001e-06,2.8960000000000004e-05
,,1729521988.0,720179874.0,,,,,,,,-0.006637903840383281,0.0035412898576011164,0.04417473230437055,0.9989954907428701,0.073,0.134,-10.161,7e-06,-0.002765,-0.001267,-2.3400000000000003e-05,-8.83e-06,2.895e-05
,,1729521988.0,745113443.0,,,,,,,,-0.006620529898462923,0.003541945302081126,0.044192106246290906,0.9989948352983901,0.083,0.125,-10.175,5.1e-05,-0.002143,0.00092,-2.3350000000000002e-05,-8.83e-06,2.8840000000000002e-05
,,1729521988.0,770911317.0,,,,,,,,-0.0066114884777598495,0.0035334976648934936,0.044209456331867104,0.9989941574329657,0.07,0.119,-10.152,-0.000426,-0.002898,-0.0003,-2.334e-05,-8.78e-06,2.8720000000000003e-05
,,1729521988.0,796906158.0,,,,,,,,-0.006602708929973016,0.0035339987045943286,0.04419198974960523,0.9989949865389279,0.112,0.106,-10.152,-0.000703,0.000158,-0.000972,-2.324e-05,-8.840000000000002e-06,2.8840000000000002e-05
,,1729521988.0,821321929.0,,,,,,,,-0.006602292946944147,0.003525338425629809,0.044183217197034726,0.9989954079148448,0.079,0.11,-10.17,0.00177,-0.001416,-0.001888,-2.3400000000000003e-05,-8.720000000000001e-06,2.9010000000000005e-05
,,1729521988.0,851678174.0,,,,,,,,-0.0066019078036204755,0.003516620527026194,0.04418316251864507,0.9989954436048607,0.047,0.111,-10.13,-0.000259,-0.003323,-0.002205,-2.3290000000000002e-05,-8.56e-06,2.8899999999999998e-05
,,1729521988.0,874079973.0,,,,,,,,-0.006602647249054213,0.003534113943066443,0.044174553991149286,0.9989957576824964,0.075,0.134,-10.182,0.000675,0.000973,-0.001717,-2.3290000000000002e-05,-8.78e-06,2.8840000000000002e-05
,,1729521988.0,895990814.0,,,,,,,,-0.006602323711074138,0.003525280809620522,0.04419193507489244,0.9989950223054987,0.113,0.127,-10.177,-0.000837,-0.000947,-0.000438,-2.328e-05,-8.390000000000001e-06,2.9010000000000005e-05
